nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 2150 / 2340
Instances this launch   : 190
Same-seed retries       : 3
==============================================================================
[DEFERRED] INST_3051 | AODV: NS-2 failed: 
[PASS] INST_3112 | 150 nodes | 50 km/h | 12 flows | 3 pps | seed 2 | 2211/2340
[PASS] INST_3113 | 150 nodes | 50 km/h | 12 flows | 3 pps | seed 3 | 2212/2340
[PASS] INST_3114 | 150 nodes | 50 km/h | 12 flows | 3 pps | seed 4 | 2213/2340
[PASS] INST_3115 | 150 nodes | 50 km/h | 12 flows | 3 pps | seed 5 | 2214/2340
[PASS] INST_3116 | 150 nodes | 50 km/h | 12 flows | 4 pps | seed 1 | 2215/2340
[PASS] INST_3117 | 150 nodes | 50 km/h | 12 flows | 4 pps | seed 2 | 2216/2340
[PASS] INST_3118 | 150 nodes | 50 km/h | 12 flows | 4 pps | seed 3 | 2217/2340
[PASS] INST_3119 | 150 nodes | 50 km/h | 12 flows | 4 pps | seed 4 | 2218/2340
[PASS] INST_3120 | 150 nodes | 50 km/h | 12 flows | 4 pps | seed 5 | 2219/2340
[PASS] INST_3121 | 150 nodes | 50 km/h | 12 flows | 5 pps | seed 1 | 2220/2340
[PASS] INST_3122 | 150 nodes | 50 km/h | 12 flows | 5 pps | seed 2 | 2221/2340
[PASS] INST_3123 | 150 nodes | 50 km/h | 12 flows | 5 pps | seed 3 | 2222/2340
[PASS] INST_3124 | 150 nodes | 50 km/h | 12 flows | 5 pps | seed 4 | 2223/2340
[PASS] INST_3125 | 150 nodes | 50 km/h | 12 flows | 5 pps | seed 5 | 2224/2340
[PASS] INST_3126 | 150 nodes | 50 km/h | 12 flows | 6 pps | seed 1 | 2225/2340
[PASS] INST_3127 | 150 nodes | 50 km/h | 12 flows | 6 pps | seed 2 | 2226/2340
[PASS] INST_3128 | 150 nodes | 50 km/h | 12 flows | 6 pps | seed 3 | 2227/2340
[PASS] INST_3129 | 150 nodes | 50 km/h | 12 flows | 6 pps | seed 4 | 2228/2340
[PASS] INST_3130 | 150 nodes | 50 km/h | 12 flows | 6 pps | seed 5 | 2229/2340
[PASS] INST_3131 | 150 nodes | 50 km/h | 12 flows | 8 pps | seed 1 | 2230/2340
[PASS] INST_3132 | 150 nodes | 50 km/h | 12 flows | 8 pps | seed 2 | 2231/2340
[PASS] INST_3133 | 150 nodes | 50 km/h | 12 flows | 8 pps | seed 3 | 2232/2340
