Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Offered_Load_kbps,Flows_per_Node,Rate_x_Flows,Nodes_x_Speed,Speed_per_Flow,Best_Protocol_Composite,Best_Protocol_PDR,AODV_Composite_Score,DSDV_Composite_Score,AOMDV_Composite_Score,AODV_PDR_Percent,DSDV_PDR_Percent,AOMDV_PDR_Percent
50,20,15,2,5,122.88,0.3,30,1000,1.3333333333333333,AOMDV,AODV,0.6745169274874384,0.2944017683212263,0.7203020079890453,94.432099,65.0,82.679012
50,20,15,4,1,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV,0.4564482809147118,0.5360941315569244,0.7014164893487937,77.944444,58.469136,72.092593
50,20,15,4,2,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV,0.44999999999999996,0.5216884496917561,0.6900685416894066,93.740741,71.839506,84.209877
50,20,15,4,3,245.76,0.3,60,1000,1.3333333333333333,AOMDV,AODV,0.44999999999999996,0.55,0.5581703346521526,85.580247,65.796296,80.074074
50,20,15,4,4,245.76,0.3,60,1000,1.3333333333333333,AODV,AODV,0.7060312587930537,0.23297342596926432,0.6611525490579783,98.382716,81.833333,89.598765
50,20,15,4,5,245.76,0.3,60,1000,1.3333333333333333,DSDV,AODV,0.44999999999999996,0.55,0.5206141946560341,82.598765,65.598765,78.290123
50,20,15,8,1,491.52,0.3,120,1000,1.3333333333333333,AOMDV,AOMDV,0.42680645875658063,0.55,0.5945908624255277,57.240741,51.447531,57.555556
50,20,15,8,2,491.52,0.3,120,1000,1.3333333333333333,DSDV,DSDV,0.0,1.0,0.4559856279892405,61.675926,63.416667,62.95679
50,20,15,8,3,491.52,0.3,120,1000,1.3333333333333333,DSDV,AODV,0.5659942559479205,0.6361466393545756,0.06658217975886083,52.824074,47.753086,46.552469
50,20,15,8,4,491.52,0.3,120,1000,1.3333333333333333,AOMDV,AOMDV,0.0,0.6799627122300325,0.7860956893987093,77.067901,78.262346,81.203704
